MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/7/2025 20:24:34,1.16.3,FR1 Left,0,3.88,nan,1,Left,Left,1,0,0,0,nan,nan,0.16
9/7/2025 20:24:35,1.16.3,FR1 Left,0,3.88,1,1,Pellet,Left,1,0,1,0,0.06,nan,nan
9/8/2025 1:02:19,1.16.3,FR1 Left,0,3.88,nan,1,Left,Left,2,0,1,0,nan,nan,0.23
9/8/2025 1:03:25,1.16.3,FR1 Left,0,3.88,1,1,Pellet,Left,2,0,2,0,Timed_out,16730,nan
9/8/2025 1:04:34,1.16.3,FR1 Left,0,3.88,nan,1,Left,Left,3,0,2,0,nan,nan,0.00
9/8/2025 1:04:39,1.16.3,FR1 Left,0,3.88,1,1,Pellet,Left,3,0,3,0,4.22,74,nan
9/8/2025 3:20:13,1.16.3,FR1 Left,0,3.87,nan,1,Left,Left,4,0,3,0,nan,nan,0.01
9/8/2025 3:24:04,1.16.3,FR1 Left,0,3.87,nan,1,RightWithPellet,Left,4,1,3,0,nan,nan,0.11
9/8/2025 3:43:34,1.16.3,FR1 Left,0,3.87,1,1,Pellet,Left,4,1,4,0,Timed_out,9535,nan
9/8/2025 4:27:03,1.16.3,FR1 Left,0,3.87,nan,1,Right,Left,4,2,4,0,nan,nan,0.26
9/8/2025 4:36:10,1.16.3,FR1 Left,0,3.87,nan,1,Right,Left,4,3,4,0,nan,nan,0.34
9/8/2025 5:25:49,1.16.3,FR1 Left,0,3.87,nan,1,Left,Left,5,3,4,0,nan,nan,0.03
9/8/2025 5:40:31,1.16.3,FR1 Left,0,3.87,1,1,Pellet,Left,5,3,5,0,Timed_out,7017,nan
9/8/2025 13:28:24,1.16.3,FR1 Left,0,3.86,nan,1,Left,Left,6,3,5,0,nan,nan,0.00
9/8/2025 13:28:33,1.16.3,FR1 Left,0,3.87,1,1,Pellet,Left,6,3,6,0,8.28,28082,nan
9/8/2025 14:01:05,1.16.3,FR1 Left,0,3.86,nan,1,Left,Left,7,3,6,0,nan,nan,0.12
9/8/2025 14:01:11,1.16.3,FR1 Left,0,3.86,1,1,Pellet,Left,7,3,7,0,5.75,1958,nan
9/8/2025 20:43:48,1.16.3,FR1 Left,0,3.85,nan,1,Left,Left,8,3,7,0,nan,nan,0.26
9/8/2025 20:43:49,1.16.3,FR1 Left,0,3.85,1,1,Pellet,Left,8,3,8,0,0.06,24158,nan
9/9/2025 4:48:21,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,9,3,8,0,nan,nan,0.00
9/9/2025 4:48:22,1.16.3,FR1 Left,0,3.85,1,1,Pellet,Left,9,3,9,0,0.06,29072,nan
9/9/2025 4:49:30,1.16.3,FR1 Left,0,3.85,nan,1,Left,Left,10,3,9,0,nan,nan,0.02
9/9/2025 4:49:31,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,10,3,10,0,0.06,69,nan
9/9/2025 4:51:52,1.16.3,FR1 Left,0,3.85,nan,1,Right,Left,10,4,10,0,nan,nan,0.64
9/9/2025 4:53:41,1.16.3,FR1 Left,0,3.85,nan,1,Left,Left,11,4,10,0,nan,nan,0.06
9/9/2025 4:53:44,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,11,4,11,0,1.71,254,nan
9/9/2025 4:55:08,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,12,4,11,0,nan,nan,0.25
9/9/2025 4:55:09,1.16.3,FR1 Left,0,3.85,1,1,Pellet,Left,12,4,12,0,0.06,85,nan
9/9/2025 4:55:57,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,13,4,12,0,nan,nan,0.01
9/9/2025 4:55:58,1.16.3,FR1 Left,0,3.85,1,1,Pellet,Left,13,4,13,0,0.06,49,nan
9/9/2025 4:56:45,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,14,4,13,0,nan,nan,0.28
9/9/2025 4:56:46,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,14,4,14,0,0.61,48,nan
9/9/2025 4:57:50,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,15,4,14,0,nan,nan,0.21
9/9/2025 4:57:50,1.16.3,FR1 Left,0,3.85,1,1,Pellet,Left,15,4,15,0,0.06,64,nan
9/9/2025 4:58:28,1.16.3,FR1 Left,0,3.85,nan,1,Left,Left,16,4,15,0,nan,nan,0.26
9/9/2025 4:58:30,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,16,4,16,0,1.03,40,nan
9/9/2025 4:59:06,1.16.3,FR1 Left,0,3.85,nan,1,Left,Left,17,4,16,0,nan,nan,0.15
9/9/2025 4:59:07,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,17,4,17,0,0.06,37,nan
9/9/2025 4:59:36,1.16.3,FR1 Left,0,3.85,nan,1,Left,Left,18,4,17,0,nan,nan,0.09
9/9/2025 4:59:38,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,18,4,18,0,1.65,31,nan
9/9/2025 5:00:06,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,19,4,18,0,nan,nan,0.14
9/9/2025 5:00:07,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,19,4,19,0,0.55,29,nan
9/9/2025 5:00:31,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,20,4,19,0,nan,nan,0.13
9/9/2025 5:00:33,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,20,4,20,0,0.67,26,nan
9/9/2025 5:00:56,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,21,4,20,0,nan,nan,0.14
9/9/2025 5:00:57,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,21,4,21,0,0.06,24,nan
9/9/2025 5:01:20,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,22,4,21,0,nan,nan,0.00
9/9/2025 5:01:21,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,22,4,22,0,0.48,24,nan
9/9/2025 5:01:53,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,23,4,22,0,nan,nan,0.35
9/9/2025 5:01:56,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,23,4,23,0,1.59,34,nan
9/9/2025 5:02:21,1.16.3,FR1 Left,0,3.85,nan,1,Left,Left,24,4,23,0,nan,nan,0.13
9/9/2025 5:02:23,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,24,4,24,0,1.16,28,nan
9/9/2025 5:02:48,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,25,4,24,0,nan,nan,0.13
9/9/2025 5:02:49,1.16.3,FR1 Left,0,3.84,2,1,Pellet,Left,25,4,25,0,0.12,26,nan
9/9/2025 5:04:26,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,26,4,25,0,nan,nan,0.12
9/9/2025 5:04:27,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,26,4,26,0,0.06,97,nan
9/9/2025 5:04:52,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,27,4,26,0,nan,nan,0.00
9/9/2025 5:04:54,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,27,4,27,0,0.61,28,nan
9/9/2025 5:05:17,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,28,4,27,0,nan,nan,0.20
9/9/2025 5:05:18,1.16.3,FR1 Left,0,3.84,1,1,Pellet,Left,28,4,28,0,0.24,24,nan
9/9/2025 5:05:50,1.16.3,FR1 Left,0,3.84,nan,1,Left,Left,29,4,28,0,nan,nan,0.00
