group,condition,lever_presses_stim,lever_presses_poststim,lever_presses_reward,sequence_duration,reinforcers,inter_press_interval
ChR2,off,2.5,5.2,9.8,14.5,1.7,2.1
ChR2,off,2.8,5.5,10.0,15.2,1.6,1.9
ChR2,off,2.3,5.0,9.5,13.8,1.8,2.2
ChR2,off,2.6,5.8,9.9,16.1,1.5,2.0
ChR2,Pf,0.3,8.5,9.2,38.0,1.9,5.2
ChR2,Pf,0.2,7.8,9.8,35.5,1.7,4.8
ChR2,Pf,0.1,8.2,9.5,40.2,1.8,5.5
ChR2,Pf,0.4,9.0,9.0,36.8,2.0,4.5
ChR2,PPN,2.2,5.5,9.3,18.5,1.8,2.3
ChR2,PPN,2.5,5.2,9.7,17.2,1.9,2.1
ChR2,PPN,2.8,5.8,9.5,19.8,1.7,2.4
ChR2,PPN,2.4,5.3,9.6,18.0,1.8,2.2
YFP,off,3.0,5.0,9.5,17.0,1.8,2.0
YFP,off,2.8,5.5,9.8,16.5,1.9,2.1
YFP,off,3.2,4.8,9.2,18.2,1.7,1.9
YFP,off,2.9,5.2,9.6,17.5,1.8,2.2
YFP,Pf,2.5,5.3,9.0,15.5,1.2,2.0
YFP,Pf,2.8,5.8,9.2,18.2,1.8,2.3
YFP,Pf,2.3,5.0,8.8,16.8,1.5,1.8
YFP,Pf,2.6,5.5,9.1,17.0,1.6,2.1
YFP,PPN,3.5,5.5,9.8,14.5,2.2,2.0
YFP,PPN,3.2,5.2,9.5,15.8,2.0,2.2
YFP,PPN,3.8,5.8,10.0,13.2,2.3,1.9
YFP,PPN,3.6,5.6,9.7,14.8,2.1,2.1
